,epoch,loss,accuracy,precision,recall,F1
0,0,0.14447368681430817,0.9488187432289124,0.7862142324447632,0.6576719880104065,0.7162213325500488
1,10,0.12082149088382721,0.957993745803833,0.8133343458175659,0.7174983620643616,0.7624164819717407
2,20,0.11186967045068741,0.9619937539100647,0.8814647793769836,0.6829825639724731,0.769632875919342
3,30,0.11385241895914078,0.9597749710083008,0.8219138383865356,0.7394914031028748,0.7785272002220154
4,40,0.11184066534042358,0.9622625112533569,0.8128303289413452,0.7279545664787292,0.768054723739624
5,50,0.1079111322760582,0.9606375098228455,0.8308833837509155,0.7506704330444336,0.7887427806854248
6,60,0.13575655221939087,0.9593999981880188,0.8675864338874817,0.6769281029701233,0.7604895830154419
7,70,0.13266512751579285,0.9561062455177307,0.8299581408500671,0.6652357578277588,0.7385233640670776
8,80,0.14072327315807343,0.9506812691688538,0.7804515957832336,0.6443491578102112,0.7058998346328735
9,90,0.12285777181386948,0.9574687480926514,0.805145800113678,0.6743768453598022,0.7339822053909302
10,100,0.11453036218881607,0.9609062671661377,0.8040291666984558,0.7320154309272766,0.7663342356681824
11,110,0.15162448585033417,0.9539499878883362,0.8454033732414246,0.6117295622825623,0.7098298072814941
12,120,0.0994257777929306,0.9634812474250793,0.8621693849563599,0.7123221755027771,0.7801151871681213
13,130,0.14377494156360626,0.9544812440872192,0.885834276676178,0.5906545519828796,0.7087382078170776
14,140,0.12189225852489471,0.9596499800682068,0.8682729005813599,0.7110455632209778,0.7818328738212585
15,150,0.15672695636749268,0.9516812562942505,0.8483287692070007,0.5742310285568237,0.6848734617233276
16,160,0.13701823353767395,0.9563624858856201,0.8663206100463867,0.6116296648979187,0.7170300483703613
17,170,0.12080154567956924,0.9582625031471252,0.8273577094078064,0.7383590340614319,0.7803289294242859
18,180,0.10990043729543686,0.9632124900817871,0.8407762050628662,0.7251400351524353,0.7786884307861328
19,190,0.1277560591697693,0.9549750089645386,0.798306941986084,0.6905145645141602,0.7405086159706116
20,200,0.1454581320285797,0.9529812335968018,0.8069489002227783,0.6642777323722839,0.7286955118179321
21,210,0.1424531787633896,0.9544062614440918,0.8103296160697937,0.7001461982727051,0.7512191534042358
22,220,0.1153605580329895,0.9587937593460083,0.8496142625808716,0.6686220765113831,0.7483298778533936
23,230,0.13194681704044342,0.9515625238418579,0.7238065004348755,0.7692463994026184,0.7458349466323853
24,240,0.11028586328029633,0.9594687223434448,0.7876185774803162,0.7433747053146362,0.7648573517799377
25,250,0.12951792776584625,0.9604125022888184,0.8746116757392883,0.697566568851471,0.7761204838752747
26,260,0.1273636370897293,0.9583187699317932,0.8177842497825623,0.6955982446670532,0.7517587542533875
27,270,0.15202054381370544,0.9530812501907349,0.8515819311141968,0.6322892904281616,0.725731611251831
28,280,0.1305999457836151,0.9570749998092651,0.8857361674308777,0.6194690465927124,0.7290516495704651
29,290,0.14383815228939056,0.9556937217712402,0.8889520764350891,0.5610368847846985,0.6879154443740845
30,300,0.11844110488891602,0.9547062516212463,0.741567850112915,0.7720320820808411,0.7564934492111206
31,310,0.13527357578277588,0.9541062712669373,0.7847123146057129,0.7354248762130737,0.7592695355415344
32,320,0.14223931729793549,0.95355623960495,0.853975236415863,0.5888835191726685,0.697077214717865
