,epoch,loss,accuracy,precision,recall,F1
0,0,0.04219379276037216,0.9871125221252441,0.8787625432014465,0.8410242795944214,0.8594793081283569
1,10,0.06181762367486954,0.9835437536239624,0.9143235087394714,0.7232761979103088,0.8076557517051697
2,20,0.044846877455711365,0.9876624941825867,0.926784873008728,0.8039447665214539,0.8610055446624756
3,30,0.04478791356086731,0.9876687526702881,0.9224362969398499,0.7904015779495239,0.8513299226760864
4,40,0.048884063959121704,0.9873499870300293,0.9151515364646912,0.7936376333236694,0.8500741124153137
5,50,0.03959584981203079,0.9889562726020813,0.954285740852356,0.8077124357223511,0.8749026656150818
6,60,0.0651518851518631,0.982018768787384,0.9147083163261414,0.7024230360984802,0.794632077217102
7,70,0.05047839134931564,0.9862937331199646,0.877880871295929,0.8098853826522827,0.842513382434845
8,80,0.04908228665590286,0.9854687452316284,0.8812282681465149,0.8016866445541382,0.8395776748657227
9,90,0.03983030468225479,0.9890062212944031,0.9244574904441833,0.8138465881347656,0.8656328916549683
10,100,0.044553499668836594,0.9884562492370605,0.9077691435813904,0.8352702856063843,0.8700119853019714
11,110,0.05470077320933342,0.9854000210762024,0.9287346005439758,0.7655328512191772,0.8392733931541443
12,120,0.053651243448257446,0.9844624996185303,0.8977615237236023,0.7543017268180847,0.8198028802871704
13,130,0.07208794355392456,0.982643723487854,0.893907368183136,0.6764106750488281,0.7700968384742737
14,140,0.051316726952791214,0.9859562516212463,0.9423496127128601,0.7471432089805603,0.8334691524505615
15,150,0.05062078684568405,0.9859125018119812,0.9035618305206299,0.7619722485542297,0.8267486691474915
16,160,0.044408250600099564,0.9876875281333923,0.9385377168655396,0.8063063025474548,0.8674114942550659
17,170,0.050696052610874176,0.9867937564849854,0.9312471151351929,0.7837311625480652,0.8511447906494141
18,180,0.04592330753803253,0.9867500066757202,0.9129643440246582,0.7956918478012085,0.8503036499023438
19,190,0.05346004292368889,0.9848625063896179,0.8555708527565002,0.8192834854125977,0.8370341062545776
